player,batting_elo,total_runs,matches_played,bowling_elo,total_wickets,matches_2plus_overs,allrounder_elo
Sikandar Raza,1804.5290650113425,3213,148,1449.9882843861799,122,113,1617.5741105435613
Sohail Tanvir,1545.9198272352621,1061,105,1499.9427420167742,220,179,1522.7577695094374
Sumit Kumar,1560.9640993852245,646,41,1535.1834188034188,37,24,1548.0200911886152
Swapnil Singh,1565.4279108541007,585,38,1503.525043669781,44,41,1534.1642897775994
Syed Aziz,1735.872203888165,2149,88,1474.238008601252,41,41,1599.7152187331203
TK Curran,1534.1959286311408,653,56,1528.7873857721227,112,83,1531.4892696307852
Taranjeet Singh,1604.3709987893017,1113,30,1509.4379412205728,41,31,1556.1807277326493
Umar Adam,1554.3791875554077,632,35,1538.0157438467966,47,33,1546.1758187114458
V Saini,1579.4556407273458,809,32,1490.6234391651908,38,35,1534.3968193364635
V Vijh,1566.050156062533,625,28,1519.3106550288044,41,29,1542.5033835993127
VP Thamotharam,1629.9025756053018,1179,40,1470.7752175310068,32,33,1548.2959391505992
VR Iyer,1780.3961688079194,2502,96,1521.077667887668,36,30,1645.6369138927605
Virandeep Singh,1739.7125148620955,2442,83,1515.2621531100474,76,55,1623.6134179854619
W Sutherland,1553.016175924484,630,51,1441.5038375481624,39,46,1496.2215001026807
WD Parnell,1498.3611512311713,559,66,1539.1956159497363,156,120,1518.6411409824307
Wahab Riaz,1457.3822024524766,555,75,1621.6306866340624,202,149,1537.3144446245446
Washington Sundar,1610.1661904515595,1280,88,1406.1149669044396,108,120,1504.6856082243366
YK Pathan,1895.4323718173036,3812,194,1408.0555941134887,60,77,1633.6689243543663
Yasim Murtaza,1574.9338293787534,674,46,1503.1624675324674,61,52,1538.6297219179555
Yasir Ali,1564.7784431756932,590,21,1554.4326184926188,44,23,1559.5969520316446
Yuvraj Singh,1987.0430632219786,4380,202,1459.582541383625,82,78,1703.0130252162603
Zeeshan Maqsood,1621.440457334437,1304,63,1447.6984930274402,56,58,1532.108647132046
