player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
M Kelly,38,61,861,1124,18.42622950819672,7.832752613240418,1.605263157894737,False,1559.83620182936
M Khojbariya,5,5,90,93,18.6,6.2,1.0,False,1501.111111111111
M Koli,20,30,544,604,20.133333333333333,6.661764705882352,1.5,False,1529.6113927107217
M Kpaka,10,11,177,179,16.272727272727273,6.067796610169491,1.1,False,1492.8345373237014
M Kristensen,1,0,12,12,,6.0,0.0,False,1495.5
M Kyriacou,1,0,15,31,,12.4,0.0,False,1495.0
M Labuschagne,8,13,136,197,15.153846153846153,8.691176470588236,1.625,False,1512.2777777777776
M Levitt,4,2,64,109,54.5,10.21875,0.5,False,1488.888888888889
M Magagula,13,18,270,357,19.833333333333332,7.933333333333334,1.3846153846153846,False,1510.1449096115596
M Malle,2,1,29,35,35.0,7.241379310344828,0.5,False,1495.7666666666667
M Manhas,2,0,36,33,,5.5,0.0,False,1491.3333333333333
M Manivannan,1,0,19,32,,10.105263157894738,0.0,False,1495.0
M Markande,70,74,1457,1954,26.405405405405407,8.046671242278654,1.0571428571428572,False,1465.0888107019684
M Matthew,6,4,120,148,37.0,7.4,0.6666666666666666,False,1486.6533333333332
M Mohammed,28,32,491,610,19.0625,7.4541751527494915,1.1428571428571428,False,1504.7413064713069
M Montgomery,1,0,18,21,,7.0,0.0,False,1495.1666666666667
M Mooketsi,38,49,861,920,18.775510204081634,6.411149825783972,1.2894736842105263,False,1519.6023211875843
M Morkel,123,148,2946,3711,25.074324324324323,7.558044806517311,1.2032520325203253,True,1551.7789399878866
M Muralitharan,102,113,2438,2613,23.123893805309734,6.430680885972109,1.107843137254902,True,1525.6555067155064
M Mwamadi,3,3,57,72,24.0,7.578947368421052,1.0,False,1495.2777777777778
M Ntini,19,15,411,559,37.266666666666666,8.16058394160584,0.7894736842105263,False,1462.729829059829
M Ozturk,11,14,267,343,24.5,7.707865168539326,1.2727272727272727,False,1508.9300000000003
M Pathirana,54,82,1273,1660,20.24390243902439,7.8240377062058135,1.5185185185185186,False,1580.0687876882841
M Perry,3,3,48,88,29.333333333333332,11.0,1.0,False,1495.8333333333333
M Podosky,5,4,119,142,35.5,7.159663865546219,0.8,False,1490.4525925925925
M Prasanna,3,4,83,131,32.75,9.469879518072288,1.3333333333333333,False,1499.62
M Prasidh Krishna,92,112,2169,3023,26.991071428571427,8.36237897648686,1.2173913043478262,True,1514.7767447722156
M Pretorius,29,31,637,1005,32.41935483870968,9.466248037676609,1.0689655172413792,False,1474.946023391813
M Pushpakumara,1,1,18,28,28.0,9.333333333333334,1.0,False,1499.388888888889
M Raikes,1,1,18,26,26.0,8.666666666666666,1.0,False,1499.611111111111
M Sarenac,14,19,280,380,20.0,8.142857142857144,1.3571428571428572,False,1497.007351712615
M Shahbaz Butt,5,6,97,104,17.333333333333332,6.432989690721649,1.2,False,1495.0
M Shahrukh Khan,1,0,12,21,,10.5,0.0,False,1495.0
M Shumba,4,4,67,95,23.75,8.507462686567164,1.0,False,1493.1923076923076
M Siddharth,10,18,211,227,12.61111111111111,6.454976303317536,1.8,False,1504.7738095238096
M Smith,1,2,18,29,14.5,9.666666666666666,2.0,False,1504.2777777777778
M Spoors,2,3,25,13,4.333333333333333,3.1199999999999997,1.5,False,1506.2692307692307
M Stanikzai,4,2,78,110,55.0,8.461538461538462,0.5,False,1487.9646464646466
M Stoman,1,2,17,16,8.0,5.647058823529411,2.0,False,1505.0
M Syahadat Ramli,6,13,109,99,7.615384615384615,5.4495412844036695,2.1666666666666665,False,1516.3333333333333
M Taniyama,22,33,349,270,8.181818181818182,4.641833810888253,1.5,False,1522.2204357046464
M Taylor,22,18,484,533,29.61111111111111,6.607438016528925,0.8181818181818182,False,1482.412877492878
M Theekshana,125,133,2972,3504,26.345864661654137,7.074024226110364,1.064,True,1460.0092951063189
M Turner,3,2,55,36,18.0,3.9272727272727277,0.6666666666666666,False,1498.3947368421052
M Vandrasi,7,9,143,164,18.22222222222222,6.881118881118882,1.2857142857142858,False,1490.638888888889
M Vijay,2,0,30,26,,5.2,0.0,False,1491.5555555555554
M Vivekanandan,7,9,218,343,38.111111111111114,9.440366972477063,1.2857142857142858,False,1505.960805585392
M Walker,1,1,21,23,23.0,6.571428571428571,1.0,False,1500.3095238095239
M Whelan,4,4,75,121,30.25,9.68,1.0,False,1495.7355555555553
M Yunusu Issa,18,19,310,364,19.157894736842106,7.045161290322581,1.0555555555555556,False,1496.7918000128527
M Zondeki,1,1,21,42,42.0,12.0,1.0,False,1498.5
M de Lange,27,28,598,852,30.428571428571427,8.54849498327759,1.037037037037037,False,1484.51759544549
MA Aponso,3,4,60,79,19.75,7.9,1.3333333333333333,False,1504.5833333333335
MA Baig,12,26,260,192,7.384615384615385,4.43076923076923,2.1666666666666665,False,1525.7166666666665
MA Beer,51,45,1132,1238,27.511111111111113,6.561837455830389,0.8823529411764706,False,1463.6602923976614
MA Khote,2,2,30,52,26.0,10.4,1.0,False,1499.1666666666667
MA Leask,47,50,894,1099,21.98,7.375838926174497,1.0638297872340425,False,1483.9530557162145
MA Parker,1,1,26,41,41.0,9.461538461538462,1.0,False,1499.3461538461538
MA Starc,143,203,3379,4511,22.221674876847292,8.010062148564664,1.4195804195804196,True,1630.1715707519622
MA Wood,51,80,1120,1576,19.7,8.442857142857143,1.5686274509803921,False,1532.2177717019822
MB Darshan,4,6,86,127,21.166666666666668,8.86046511627907,1.5,False,1503.0555555555557
MB Parmar,1,0,19,33,,10.421052631578949,0.0,False,1495.0
MB Tambe,20,25,481,559,22.36,6.972972972972973,1.25,False,1517.0106399833226
MB van Schelven,2,3,42,37,12.333333333333334,5.285714285714286,1.5,False,1506.0555555555557
MBS Jonkman,1,2,19,21,10.5,6.631578947368421,2.0,False,1505.0
MC Alex,2,0,55,75,,8.181818181818182,0.0,False,1490.1923076923076
MC Henriques,81,70,1501,1974,28.2,7.890739506995336,0.8641975308641975,False,1423.7591948952322
MC Sorensen,15,23,301,360,15.652173913043478,7.176079734219269,1.5333333333333334,False,1518.8087301587302
MD Bates,3,4,67,108,27.0,9.671641791044777,1.3333333333333333,False,1498.74
MD Dai,5,4,120,108,27.0,5.4,0.8,False,1496.125
MD Garratt,2,2,43,49,24.5,6.837209302325581,1.0,False,1500.6755555555555
MD Gunathilaka,6,3,95,107,35.666666666666664,6.757894736842105,0.5,False,1487.0262515262516
MD Ingale,6,6,114,164,27.333333333333332,8.631578947368421,1.0,False,1498.0512659854764
MD Nidheesh,9,10,201,253,25.3,7.552238805970149,1.1111111111111112,False,1500.3347368421053
MD Shanaka,25,22,395,476,21.636363636363637,7.230379746835443,0.88,False,1483.6724792751104
MDK Perera,3,3,61,74,24.666666666666668,7.278688524590164,1.0,False,1495.2777777777778
ME Leoela,1,1,18,20,20.0,6.666666666666667,1.0,False,1500.2777777777778
MF Maharoof,26,38,580,701,18.44736842105263,7.251724137931034,1.4615384615384615,False,1529.982831319383
MG Bracewell,31,36,640,807,22.416666666666668,7.565625,1.1612903225806452,False,1510.54253968254
MG Erasmus,45,64,938,884,13.8125,5.654584221748401,1.4222222222222223,False,1567.3549527665318
MG Gale,3,1,69,96,96.0,8.347826086956522,0.3333333333333333,False,1489.871111111111
MG Hogan,6,4,146,194,48.5,7.972602739726028,0.6666666666666666,False,1488.75
MG Hunter,3,3,51,47,15.666666666666666,5.529411764705882,1.0,False,1501.2692307692307
MG Johnson,102,128,2465,3032,23.6875,7.3801217038539555,1.2549019607843137,True,1555.6673759997109
MG Neser,94,109,2002,2762,25.339449541284402,8.277722277722278,1.1595744680851063,True,1503.9933394048956
MG Sirur,9,14,191,241,17.214285714285715,7.570680628272251,1.5555555555555556,False,1503.7559808612439
MGSM Fernando,6,9,148,123,13.666666666666666,4.986486486486486,1.5,False,1517.07
MH Yardy,12,12,277,295,24.583333333333332,6.389891696750903,1.0,False,1498.7061403508774
MJ Ansell,17,18,379,329,18.27777777777778,5.20844327176781,1.0588235294117647,False,1506.5574358974357
MJ Clarke,12,7,177,210,30.0,7.11864406779661,0.5833333333333334,False,1477.9072649572652
